Date,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID,province,country,Admissions,ICU,Un_known,Un_known.D7,Age.1_4,Age.D7.1_4,Age.5_14,Age.D7.5_14,Age.15_24,Age.D7.15_24,Age.25_34,Age.D7.25_34,Age.35_44,Age.D7.35_44,Age.45_54,Age.D7.45_54,Age.55_64,Age.D7.55_64,Age.65plus,Age.D7.65plus
2020-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Ireland,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
2020-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,Ireland,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
2020-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,Ireland,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,Ireland,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,Ireland,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,Ireland,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,271,84,6,59,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,28,48,62,40,46,42,NA,27,21,52,17,NA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,350,108,7,84,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,38,64,78,49,54,57,43,35,21,43,18,NA,Ireland,24,1,NA,NA,1,1,4,4,10,10,16,16,16,16,9,9,8,8,15,15
2020-03-18,438,140,12,114,27,1,2,9,16,15,11,23,31,241,189,7,2,9,47,78,96,62,69,75,44,40,21,39,19,NA,Ireland,32,5,NA,NA,0,0.5,1,2.5,9,9.5,14,15,18,17,13,11,15,11.5,18,16.5
2020-03-19,584,173,13,147,29,2,1,9,24,18,28,31,60,320,257,7,4,10,56,110,121,95,85,102,44,42,23,35,20,NA,Ireland,33,1,0,0,2,1,1,2,9,9.333333333333334,32,20.666666666666668,25,19.666666666666668,33,18.333333333333332,16,13,27,20
2020-03-20,712,211,17,159,35,2,2,13,27,22,40,34,71,393,311,8,5,12,63,127,149,132,101,122,44,44,23,33,21,NA,Ireland,38,4,1,0.5,1,1,2,2,7,8.75,17,19.75,28,21.75,37,23,16,13.75,20,20
2020-03-21,836,239,25,208,37,2,2,14,31,26,42,37,85,460,369,7,5,16,69,166,165,158,117,139,44,43,24,33,22,NA,Ireland,28,8,-1,0,0,0.8,4,2.4,6,8.2,39,23.6,16,20.6,26,23.6,16,14.2,17,19.4
2020-03-22,965,277,36,247,44,2,2,15,36,26,52,43,101,534,431,0,5,17,77,189,183,191,136,165,45,45,24,31,23,NA,Ireland,38,11,-7,-1.75,0,0.6666666666666666,1,2.1666666666666665,8,8.166666666666666,23,23.5,18,20.166666666666668,33,25.166666666666668,19,15,26,20.5
2020-03-23,1146,305,39,283,63,2,2,15,38,27,57,50,114,642,522,0,5,20,94,228,214,229,165,207,45,47,24,29,24,NA,Ireland,28,3,0,-1.4,0,0.5714285714285714,3,2.2857142857142856,17,9.428571428571429,39,25.714285714285715,31,21.714285714285715,38,27,29,17,42,23.571428571428573
2020-03-24,1383,340,47,321,66,2,2,16,38,29,64,56,133,753,630,0,8,22,111,264,246,280,280,252,46,47,24,29,25,NA,Ireland,35,8,0,-1.1666666666666667,3,0.8571428571428571,2,2,17,10.428571428571429,36,28.571428571428573,32,24,51,33,115,32.285714285714285,45,27.857142857142858
2020-03-25,1639,419,59,375,79,3,3,17,45,40,70,71,169,879,760,6,10,25,123,310,305,320,233,307,46,51,23,26,26,NA,Ireland,79,12,6,-0.14285714285714285,2,1.1428571428571428,3,2.2857142857142856,12,10.857142857142858,46,33.142857142857146,59,29.857142857142858,40,36.857142857142854,-47,23.428571428571427,55,33.142857142857146
2020-03-26,1904,489,67,445,91,3,3,18,48,45,85,76,210,1010,888,6,14,25,136,358,353,368,271,373,46,50,23,27,27,NA,Ireland,70,8,0,-0.14285714285714285,4,1.4285714285714286,0,2.142857142857143,13,11.428571428571429,48,35.42857142857143,48,33.142857142857146,48,39,38,26.571428571428573,66,38.714285714285715
2020-03-27,2216,564,77,506,103,3,3,19,52,51,98,88,249,1140,1060,16,15,29,155,408,416,432,314,441,47,51,25,24,28,NA,Ireland,75,10,10,1.1428571428571428,1,1.4285714285714286,4,2.4285714285714284,19,13.142857142857142,50,40.142857142857146,63,38.142857142857146,64,42.857142857142854,43,30.428571428571427,68,45.57142857142857
2020-03-28,2475,645,84,578,111,3,3,21,57,61,107,101,290,1240,1206,29,15,29,171,448,467,467,360,511,47,50,27,23,29,NA,Ireland,81,7,13,3.142857142857143,0,1.4285714285714286,0,1.8571428571428572,16,14.571428571428571,40,40.285714285714285,51,43.142857142857146,35,44.142857142857146,46,34.714285714285715,70,53.142857142857146
2020-03-29,2677,703,113,674,118,4,3,22,61,66,116,108,321,1321,1320,36,17,30,178,477,503,504,398,563,47,51,26,23,30,NA,Ireland,58,29,7,5.142857142857143,2,1.7142857142857142,1,1.8571428571428572,7,14.428571428571429,29,41.142857142857146,36,45.714285714285715,37,44.714285714285715,38,37.42857142857143,52,56.857142857142854
2020-03-30,2990,834,126,752,134,6,3,26,69,76,134,130,388,1494,1457,39,19,30,194,519,550,558,440,673,48,51,29,20,31,NA,Ireland,131,13,3,5.571428571428571,2,2,0,1.4285714285714286,16,14.285714285714286,42,41.57142857142857,47,48,54,47,42,39.285714285714285,110,66.57142857142857
2020-03-31,3282,932,134,841,160,6,4,29,77,85,152,145,432,1661,1572,49,19,30,216,564,617,608,480,739,48,59,23,18,32,NA,Ireland,98,8,10,7,0,1.5714285714285714,0,1.1428571428571428,22,15,45,42.857142857142854,67,53,50,46.857142857142854,40,28.571428571428573,66,69.57142857142857
2020-04-01,3655,1039,148,948,171,6,4,32,81,94,163,160,497,1752,1860,43,20,30,235,618,685,690,537,831,48,61,23,16,33,NA,Ireland,107,14,-6,5.285714285714286,1,1.4285714285714286,0,0.7142857142857143,19,16,54,44,68,54.285714285714285,82,52.857142857142854,57,43.42857142857143,92,74.85714285714286
2020-04-02,4014,1118,158,1084,206,6,4,34,83,101,174,174,540,1909,2080,25,21,33,255,678,751,764,584,918,48,62,23,15,34,NA,Ireland,79,10,-18,2.7142857142857144,1,1,3,1.1428571428571428,20,17,60,45.714285714285715,66,56.857142857142854,74,56.57142857142857,47,44.714285714285715,87,77.85714285714286
2020-04-03,4443,1203,165,1163,236,7,4,35,88,106,183,185,593,2072,2335,36,24,35,270,748,808,830,647,1070,48,63,24,13,35,NA,Ireland,85,7,11,2.857142857142857,3,1.2857142857142858,2,0.8571428571428571,15,16.428571428571427,70,48.57142857142857,57,56,66,56.857142857142854,63,47.57142857142857,152,89.85714285714286
2020-04-04,4916,1265,169,1263,260,3,7,35,93,111,188,191,635,2235,2633,48,24,36,287,820,902,907,697,1229,49,65,23,12,36,NA,Ireland,62,4,12,2.7142857142857144,0,1.2857142857142858,1,1,17,16.571428571428573,72,53.142857142857146,94,62.142857142857146,77,62.857142857142854,50,48.142857142857146,159,102.57142857142857
2020-04-05,5593,1345,194,1388,270,7,3,36,96,116,201,207,677,2594,2946,53,30,39,347,948,1044,1048,794,1326,48,67,22,11,37,NA,Ireland,80,25,5,2.4285714285714284,6,1.8571428571428572,3,1.2857142857142858,60,24.142857142857142,128,67.28571428571429,142,77.28571428571429,141,77.71428571428571,97,56.57142857142857,97,109
2020-04-06,5981,1472,224,1568,299,7,4,37,102,127,224,230,739,2757,3154,70,30,42,364,1010,1111,1118,847,1442,48,67,23,10,38,NA,Ireland,127,30,17,4.428571428571429,0,1.5714285714285714,3,1.7142857142857142,17,24.285714285714285,62,70.14285714285714,67,80.14285714285714,70,80,53,58.142857142857146,116,109.85714285714286
2020-04-07,6444,1521,230,1765,317,9,4,37,103,130,231,237,768,2923,3425,96,33,43,384,1103,1176,1219,922,1544,48,67,24,9,39,NA,Ireland,49,6,26,6.714285714285714,3,2,1,1.8571428571428572,20,24,93,77,65,79.85714285714286,101,87.28571428571429,75,63.142857142857146,102,115
2020-04-08,7071,1631,244,1949,339,10,4,39,115,137,249,256,819,3211,3788,72,36,45,423,1220,1304,1339,1015,1670,48,66,25,9,40,NA,Ireland,110,14,-24,4.142857142857143,3,2.2857142857142856,2,2.142857142857143,39,26.857142857142858,117,86,128,88.42857142857143,120,92.71428571428571,93,68.28571428571429,126,119.85714285714286
2020-04-09,7787,1718,253,2141,356,10,4,41,119,144,256,271,871,3489,4212,86,40,52,473,1343,1418,1479,1138,1825,48,66,26,8,41,NA,Ireland,87,9,14,8.714285714285714,4,2.7142857142857144,7,2.7142857142857144,50,31.142857142857142,123,95,114,95.28571428571429,140,102.14285714285714,123,79.14285714285714,155,129.57142857142858
2020-04-10,8496,1777,261,2312,382,10,5,43,123,146,263,279,906,3783,4616,97,45,56,528,1479,1558,1609,1251,1951,48,67,26,7,42,NA,Ireland,59,8,11,8.714285714285714,5,3,4,3,55,36.857142857142854,136,104.42857142857143,140,107.14285714285714,130,111.28571428571429,113,86.28571428571429,126,125.85714285714286
2020-04-11,9484,1849,268,2489,401,11,5,44,125,150,272,287,953,4225,5115,144,48,67,598,1647,1757,1812,1411,2123,48,66,27,7,43,NA,Ireland,72,7,47,13.714285714285714,3,3.4285714285714284,11,4.428571428571429,70,44.42857142857143,168,118.14285714285714,199,122.14285714285714,203,129.28571428571428,160,102,172,127.71428571428571
2020-04-12,10385,1903,275,2707,408,12,5,43,127,154,278,293,989,4617,5629,139,56,81,674,1805,1927,1983,1522,2316,48,66,27,7,44,NA,Ireland,54,7,-5,12.285714285714286,8,3.7142857142857144,14,6,76,46.714285714285715,158,122.42857142857143,170,126.14285714285714,171,133.57142857142858,111,104,193,141.42857142857142
2020-04-13,11261,1968,280,2872,413,13,4,43,130,159,288,301,1028,5021,6140,100,61,96,737,1950,2084,2157,1637,2520,48,52,42,6,45,NA,Ireland,65,5,-39,4.285714285714286,5,4.428571428571429,15,7.714285714285714,63,53.285714285714285,145,134.28571428571428,157,139,174,148.42857142857142,115,112.85714285714286,204,154
2020-04-14,12425,2026,284,3090,425,13,4,43,132,164,298,308,1062,5536,6778,111,72,124,809,2145,2315,2395,1806,2739,48,51,43,6,46,NA,Ireland,58,4,11,2.142857142857143,11,5.571428571428571,28,11.571428571428571,72,60.714285714285715,195,148.85714285714286,231,162.71428571428572,238,168,169,126.28571428571429,219,170.71428571428572
2020-04-15,13012,2082,294,3347,436,13,5,44,134,168,304,318,1094,5773,7117,122,71,136,846,2231,2415,2502,1902,2889,48,52,42,6,47,NA,Ireland,56,10,11,7.142857142857143,-1,5,12,13,37,60.42857142857143,86,144.42857142857142,100,158.71428571428572,107,166.14285714285714,96,126.71428571428571,150,174.14285714285714
2020-04-16,13746,2168,296,3573,454,13,6,47,135,177,314,330,1144,6048,7568,130,76,142,892,2329,2522,2659,2010,3094,48,52,43,5,48,NA,Ireland,86,2,8,6.285714285714286,5,5.142857142857143,6,12.857142857142858,46,59.857142857142854,98,140.85714285714286,107,157.71428571428572,157,168.57142857142858,108,124.57142857142857,205,181.28571428571428
2020-04-17,14602,2233,303,3788,472,13,7,50,139,183,320,343,1176,6397,8060,145,78,154,953,2467,2659,2825,2122,3320,48,66,32,5,49,NA,Ireland,65,7,15,6.857142857142857,2,4.714285714285714,12,14,61,60.714285714285715,138,141.14285714285714,137,157.28571428571428,166,173.71428571428572,112,124.42857142857143,226,195.57142857142858
2020-04-18,15185,2272,306,4009,478,13,7,50,143,188,322,349,1198,6603,8433,149,84,161,1000,2557,2744,2943,2184,3488,48,62,41,4,50,NA,Ireland,39,3,4,0.7142857142857143,6,5.142857142857143,7,13.428571428571429,47,57.42857142857143,90,130,85,141,118,161.57142857142858,62,110.42857142857143,168,195
2020-04-19,15464,2323,315,4180,491,13,8,51,147,194,326,356,1226,6708,8595,161,83,162,1009,2580,2781,2972,2207,3646,48,60,35,5,51,NA,Ireland,51,9,12,3.142857142857143,-1,3.857142857142857,1,11.571428571428571,9,47.857142857142854,23,110.71428571428571,37,122,29,141.28571428571428,23,97.85714285714286,158,190
2020-04-20,15871,2387,322,4393,507,13,8,52,150,198,330,366,1267,6909,8906,56,86,169,1039,2635,2843,3039,2254,3782,48,61,35,4,52,NA,Ireland,64,7,-105,-6.285714285714286,3,3.5714285714285716,7,10.428571428571429,30,43.142857142857146,55,97.85714285714286,62,108.42857142857143,67,126,47,88.14285714285714,136,180.28571428571428
2020-04-21,16439,2424,331,4545,522,13,8,51,151,201,334,372,1291,9272,7105,62,89,174,1071,2712,2929,3125,2311,4004,48,52,44,4,53,NA,Ireland,37,9,6,-7,3,2.4285714285714284,5,7.142857142857143,32,37.42857142857143,77,81,86,87.71428571428571,86,104.28571428571429,57,72.14285714285714,222,180.71428571428572
2020-04-22,17420,2486,338,4713,548,14,8,53,155,210,343,379,1321,7457,9893,70,92,177,1130,2838,3041,3280,2408,4431,49,49,47,4,54,NA,Ireland,62,7,8,-7.428571428571429,3,3,3,5.857142857142857,59,40.57142857142857,126,86.71428571428571,112,89.42857142857143,155,111.14285714285714,97,72.28571428571429,427,220.28571428571428
2020-04-23,17975,2536,344,4847,567,14,8,53,157,216,345,385,1028,7656,10261,58,93,181,1161,2904,3119,3346,2462,4685,49,63,33,4,55,NA,Ireland,50,6,-12,-10.285714285714286,1,2.4285714285714284,4,5.571428571428571,31,38.42857142857143,66,82.14285714285714,78,85.28571428571429,66,98.14285714285714,54,64.57142857142857,254,227.28571428571428
2020-04-24,18431,2576,349,5064,601,14,8,53,156,218,350,392,1382,7797,10570,64,93,184,1193,2977,3181,3403,2513,4862,49,63,33,4,56,NA,Ireland,40,5,6,-11.571428571428571,0,2.142857142857143,3,4.285714285714286,32,34.285714285714285,73,72.85714285714286,62,74.57142857142857,57,82.57142857142857,51,55.857142857142854,177,220.28571428571428
2020-04-25,19095,2624,353,5204,604,14,8,54,160,226,352,396,1412,8051,10963,81,97,190,1236,3069,3285,3526,2566,5101,49,64,33,3,57,NA,Ireland,48,4,17,-9.714285714285714,4,1.8571428571428572,6,4.142857142857143,43,33.714285714285715,92,73.14285714285714,104,77.28571428571429,123,83.28571428571429,53,54.57142857142857,239,230.42857142857142
2020-04-26,19383,2638,358,5414,608,14,8,54,159,228,353,401,1418,8152,11179,52,97,193,1262,3096,3319,3567,2586,5239,49,63,34,3,58,NA,Ireland,14,5,-29,-15.571428571428571,0,2,3,4.428571428571429,26,36.142857142857146,27,73.71428571428571,34,76.85714285714286,41,85,20,54.142857142857146,138,227.57142857142858
